,ZipCode,Date,Zestimate,LogValue,AnchorDate,EventTime,RelLogValue
10955,78245,2019-10-31,199539.89569405685,12.203769473735361,2018-11-30,11,0.04348157367611272
10956,85338,2019-10-31,286274.1609325877,12.564705235293358,2021-05-31,-19,-0.25899562834334233
10957,97124,2019-10-31,410127.37498448486,12.92422306112621,2021-03-31,-17,-0.13649471475783237
10959,43130,2019-10-31,167984.68640331845,12.031628101869567,2021-09-30,-23,-0.2372199783143234
10962,20109,2019-10-31,303472.91505313665,12.623047643499836,2019-09-30,1,0.0045201976169391145
10967,68142,2019-10-31,267932.9829834706,12.498492164727391,2021-10-31,-24,-0.19708701846929344
10975,18603,2019-10-31,163549.12266840966,12.004868668650152,2021-06-30,-20,-0.17333261697937274
10976,68138,2019-10-31,188761.088200705,12.148237410820025,2020-02-29,-4,-0.024685583624421525
10987,50061,2019-11-30,418690.5608672034,12.94488740784866,2018-11-30,12,0.05082250265229504
10992,35810,2019-11-30,108623.10910777324,11.595639454892805,2021-03-31,-16,-0.2502484676265091
10994,20136,2019-11-30,479415.9342590459,13.080323838350466,2021-06-30,-19,-0.1922654172050251
11006,43207,2019-11-30,131070.02903279946,11.783487032119629,2021-09-30,-22,-0.2473674390294498
11010,78245,2019-11-30,200672.19556254143,12.209427987880531,2018-11-30,12,0.04914008782128221
11011,85338,2019-11-30,288234.9977635916,12.571531390856979,2021-05-31,-18,-0.25216947277972146
11012,97124,2019-11-30,411889.8940918329,12.928511345264807,2021-03-31,-16,-0.13220643061923454
11014,43130,2019-11-30,168673.45732461897,12.035719919608947,2021-09-30,-22,-0.23312816057494246
11017,20109,2019-11-30,305422.79502169904,12.629452308868936,2019-09-30,2,0.01092486298603923
11022,68142,2019-11-30,268959.98790576437,12.502317903675772,2021-10-31,-23,-0.19326127952091277
11030,18603,2019-11-30,165410.18928663703,12.01618366358382,2021-06-30,-19,-0.16201762204570436
11031,68138,2019-11-30,189476.549609516,12.15202054708466,2020-02-29,-3,-0.02090244735978608
11042,50061,2019-12-31,419481.6204177066,12.94677499086094,2018-11-30,13,0.052710085664575246
11047,35810,2019-12-31,110083.92763513308,11.608998332355634,2021-03-31,-15,-0.2368895901636794
11049,20136,2019-12-31,482571.8266576089,13.086885052221186,2021-06-30,-18,-0.18570420333430526
11061,43207,2019-12-31,132840.47319171793,11.796904237602059,2021-09-30,-21,-0.23395023354702005
11065,78245,2019-12-31,201889.74968409693,12.215477033740688,2018-11-30,13,0.05518913368143963
11066,85338,2019-12-31,290364.34526470734,12.578891776380848,2021-05-31,-17,-0.24480908725585238
11067,97124,2019-12-31,414342.05221051694,12.934447124750198,2021-03-31,-15,-0.12627065113384361
11069,43130,2019-12-31,169639.29285869654,12.041429655097739,2021-09-30,-21,-0.2274184250861513
11072,20109,2019-12-31,307842.89344085363,12.63734484558648,2019-09-30,3,0.018817399703582538
11077,68142,2019-12-31,270420.5890960361,12.50773376335885,2021-10-31,-22,-0.18784541983783498
11085,18603,2019-12-31,166996.75213273996,12.025729642902824,2021-06-30,-18,-0.15247164272670055
11086,68138,2019-12-31,190511.90117853557,12.157469944975652,2020-02-29,-2,-0.015453049468794333
11097,50061,2020-01-31,418704.1441361934,12.9449198495847,2018-11-30,14,0.05085494438833571
11102,35810,2020-01-31,111214.15917897515,11.619212983438928,2021-03-31,-14,-0.22667493908038594
11104,20136,2020-01-31,485634.1518907179,13.093210845518685,2021-06-30,-17,-0.1793784100368061
11116,43207,2020-01-31,134676.3072714583,11.810629454362275,2021-09-30,-20,-0.22022501678680406
11120,78245,2020-01-31,202989.3676543242,12.220908880565176,2018-11-30,14,0.060620980505927236
11121,85338,2020-01-31,292805.06759416853,12.587262368276656,2021-05-31,-16,-0.23643849536004424
11122,97124,2020-01-31,417922.592881154,12.943051509863281,2021-03-31,-14,-0.1176662660207608
11123,78251,2020-01-31,200697.9591568119,12.209556366106979,2022-01-31,-24,-0.2565627757989528
11124,43130,2020-01-31,170731.38709240928,12.047846764711919,2021-09-30,-20,-0.22100131547197144
11127,20109,2020-01-31,310448.599986844,12.645773627157629,2019-09-30,4,0.027246181274731995
11132,68142,2020-01-31,272306.558767431,12.514683764921283,2021-10-31,-21,-0.18089541827540145
11140,18603,2020-01-31,167872.35751744895,12.03095919292696,2021-06-30,-17,-0.14724209270256416
11141,68138,2020-01-31,191894.4790645174,12.164700911725326,2020-02-29,-1,-0.008222082719120394
11152,50061,2020-02-29,418125.5219529364,12.943536958181786,2018-11-30,15,0.04947205298542201
11157,35810,2020-02-29,112189.50480559171,11.627944727638473,2021-03-31,-13,-0.21794319488084035
11159,20136,2020-02-29,488345.28282044735,13.098777981405293,2021-06-30,-16,-0.17381127415019826
11171,43207,2020-02-29,136360.10664840273,11.823054508360677,2021-09-30,-19,-0.20779996278840152
11175,78245,2020-02-29,203933.68553775817,12.225550149086015,2018-11-30,15,0.06526224902676603
11176,85338,2020-02-29,295553.1863115703,12.596604087150485,2021-05-31,-15,-0.2270967764862153
11177,97124,2020-02-29,421569.5058097202,12.951739943920034,2021-03-31,-13,-0.10897783196400823
11178,78251,2020-02-29,201614.69010829015,12.214113680125282,2022-01-31,-23,-0.25200546178064975
11179,43130,2020-02-29,171939.89063930872,12.054900221688387,2021-09-30,-19,-0.21394785849550324
11183,20109,2020-02-29,313037.02298178297,12.654076746814102,2019-09-30,5,0.0355493009312049
11187,68142,2020-02-29,274288.7716367947,12.521936741479008,2021-10-31,-20,-0.17364244171767673
11195,18603,2020-02-29,168720.65669388042,12.035999707356321,2021-06-30,-16,-0.14220157827320357
11196,68138,2020-02-29,193478.75544535907,12.172922994444447,2020-02-29,0,0.0
11207,50061,2020-03-31,418719.6391276962,12.944956855917251,2018-11-30,16,0.050891950720886925
11211,35810,2020-03-31,113047.04648451018,11.635559351619678,2021-03-31,-12,-0.21032857089963564
11214,20136,2020-03-31,490803.64811543206,13.103799424789297,2021-06-30,-15,-0.16878983076619392
11220,43054,2020-03-31,379132.7827785172,12.84564177304531,2022-03-31,-24,-0.2331718331347421
11222,76504,2020-03-31,137381.5655283671,11.830517483309052,2022-03-31,-24,-0.35141856899072543
11226,43207,2020-03-31,138097.74007554413,11.835716974857577,2021-09-30,-18,-0.19513749629150112
11230,78245,2020-03-31,204730.39478500784,12.22944924516503,2018-11-30,16,0.06916134510578154
11231,85338,2020-03-31,298684.8704047113,12.607144351447355,2021-05-31,-14,-0.2165565121893458
11232,97124,2020-03-31,425066.0771763725,12.95999991153057,2021-03-31,-12,-0.10071786435347185
11233,78251,2020-03-31,202464.23468579425,12.218318531094203,2022-01-31,-22,-0.2478006108117281
11234,43130,2020-03-31,173111.24540488468,12.061689703842653,2021-09-30,-18,-0.20715837634123702
