,TreatedZip,EventTime,RelLogValue,DonorCount
579,30318,20,-0.04870059656921342,5
580,30318,21,-0.052270216540091854,5
581,30318,22,-0.05554006953851065,5
582,30318,23,-0.057442894683173054,5
583,30318,24,-0.058522489394888313,5
584,30721,-24,-0.07631049933048609,5
585,30721,-23,-0.06704494941354681,5
586,30721,-22,-0.06049991550719689,5
587,30721,-21,-0.057635900026916785,5
588,30721,-20,-0.06094430428321331,5
589,30721,-19,-0.06679627613566233,5
590,30721,-18,-0.07313098799185766,5
591,30721,-17,-0.07821447501962275,5
592,30721,-16,-0.08460678853178791,5
593,30721,-15,-0.08899271374639958,5
594,30721,-14,-0.08912698568198393,5
595,30721,-13,-0.08299362702906557,5
596,30721,-12,-0.07417055502107103,5
597,30721,-11,-0.06533916006534853,5
598,30721,-10,-0.057694441541703154,5
599,30721,-9,-0.05049538618968761,5
600,30721,-8,-0.044193500800237116,5
601,30721,-7,-0.03818278967642534,5
602,30721,-6,-0.033187575920699784,5
603,30721,-5,-0.02899928078710836,5
604,30721,-4,-0.027598646711494722,5
605,30721,-3,-0.02613158722082467,5
606,30721,-2,-0.020098226315492695,5
607,30721,-1,-0.010758625812836087,5
608,30721,0,0.0,5
609,30721,1,0.006891042173131012,5
610,30721,2,0.012142066787486883,5
611,30721,3,0.015642110840057556,5
612,30721,4,0.017878385958224996,5
613,30721,5,0.01980836595257962,5
614,30721,6,0.021220025425885324,5
615,30721,7,0.025984560856825566,5
616,30721,8,0.030761618153589153,5
617,30721,9,0.03501165311344678,5
618,30721,10,0.03498969626812638,5
619,30721,11,0.03434852407504359,5
620,30721,12,0.033965143926138454,5
621,30721,13,0.03410976912905248,5
622,30721,14,0.03312889794671925,5
623,30721,15,0.030976143527848877,5
624,30721,16,0.030152310020526586,5
625,30721,17,0.030024666386238862,5
626,30721,18,0.03181034151590332,5
627,30721,19,0.0325770397936342,5
628,30721,20,0.03436788486268512,5
629,30721,21,0.03698432656145982,5
630,30721,22,0.04110555334213757,5
631,30721,23,0.04301531637395328,5
632,30721,24,0.04168429185620219,5
633,35810,-24,-0.31641393203879103,5
634,35810,-23,-0.30684098395823656,5
